,Product,Quantity,Value,date,year,month,day,price
526,Line Pipe <= 16 Inches In Diameter,29061,41743,2014-02-15,2014,2,15,1.4363924159526513
527,Line Pipe - Not Specified,37189,33030,2014-02-15,2014,2,15,0.8881658554949045
528,Mechanical Tubing,51817,89169,2014-02-15,2014,2,15,1.7208445104888357
529,Pressure Tubing,4389,9220,2014-02-15,2014,2,15,2.100706311232627
530,Stainless Pipe & Tubing,10465,89073,2014-02-15,2014,2,15,8.511514572384138
531,Pipe & Tubing Nonclassified,1708,4225,2014-02-15,2014,2,15,2.4736533957845435
532,Structural Pipe & Tube,34634,40138,2014-02-15,2014,2,15,1.1589189813478085
533,Pipe For Piling,1063,893,2014-02-15,2014,2,15,0.8400752587017873
534,Wire Drawn,62779,92665,2014-02-15,2014,2,15,1.4760509087433695
535,Black Plate,3499,2585,2014-02-15,2014,2,15,0.7387825092883681
536,Tin Plate,54948,60126,2014-02-15,2014,2,15,1.0942345490281722
537,Tin Free Steel,10599,12084,2014-02-15,2014,2,15,1.140107557316728
538,Sheets Hot Rolled,281847,190475,2014-02-15,2014,2,15,0.6758099252431283
539,Sheets Cold Rolled,184899,197245,2014-02-15,2014,2,15,1.0667715888133522
540,Sheets & Strip Galv Hot Dipped,214493,197152,2014-02-15,2014,2,15,0.9191535388101243
541,Sheets & Strip Galv Electrolyt,12132,12596,2014-02-15,2014,2,15,1.0382459610946257
542,Sheets & Strip All Oth Met Coat,81271,78682,2014-02-15,2014,2,15,0.9681436182648178
543,Sheets & Strip - Electrical,4765,7832,2014-02-15,2014,2,15,1.6436516264428123
544,Strip - Hot Rolled,6250,6174,2014-02-15,2014,2,15,0.98784
545,Strip - Cold Rolled,15302,39504,2014-02-15,2014,2,15,2.581623317213436
546,Total Selected Commodities,2933841,2788471,2014-03-15,2014,3,15,0.9504506208755008
547,Ingots And Steel For Castings,3611,7284,2014-03-15,2014,3,15,2.01716975906951
548,"Blooms, Billets And Slabs",717227,411023,2014-03-15,2014,3,15,0.5730724024611455
549,Wire Rods,119214,85319,2014-03-15,2014,3,15,0.7156793665173553
550,Structural Shapes Heavy,45724,38322,2014-03-15,2014,3,15,0.8381156504242848
551,Steel Piling,13733,15311,2014-03-15,2014,3,15,1.1149057015946988
552,Plates Cut Lengths,118122,108946,2014-03-15,2014,3,15,0.9223176038333248
553,Plates In Coils,131262,96182,2014-03-15,2014,3,15,0.7327482439700751
