,Country_Area,Quantity,Value,year,month,day,date,price
121,Ukraine,9262.0,13973.0,2013,3,15,2013-03-15,1.5086374433167782
122,Other Europe,852.0,967.0,2013,3,15,2013-03-15,1.1349765258215962
123,Euro Area,230464.0,401622.0,2013,3,15,2013-03-15,1.7426669675090252
124,Pacific Rim Countries,739256.0,734023.0,2013,3,15,2013-03-15,0.9929212613763027
125,Australia,91.0,192.0,2013,3,15,2013-03-15,2.10989010989011
126,China,123263.0,129307.0,2013,3,15,2013-03-15,1.049033367677243
127,Indonesia,410.0,1497.0,2013,3,15,2013-03-15,3.651219512195122
128,Japan,204358.0,217981.0,2013,3,15,2013-03-15,1.0666624257430588
129,Countries(NICS),391239.0,370043.0,2013,3,15,2013-03-15,0.9458233969517353
130,Hong Kong,4.0,25.0,2013,3,15,2013-03-15,6.25
131,Korea,329754.0,284846.0,2013,3,15,2013-03-15,0.863813630767178
132,Singapore,62.0,379.0,2013,3,15,2013-03-15,6.112903225806452
133,Taiwan,61418.0,84793.0,2013,3,15,2013-03-15,1.3805887524829854
134,Other Pacific Rim,19895.0,15004.0,2013,3,15,2013-03-15,0.7541593365167127
135,South/Central America,242379.0,149626.0,2013,3,15,2013-03-15,0.6173224578036877
136,Argentina,8363.0,18363.0,2013,3,15,2013-03-15,2.195743154370441
137,Brazil,227489.0,122677.0,2013,3,15,2013-03-15,0.5392656348219035
138,Chile,,,2013,3,15,2013-03-15,
139,Colombia,3308.0,5109.0,2013,3,15,2013-03-15,1.5444377267230955
140,Venezuela,,,2013,3,15,2013-03-15,
141,Other S/C America,3218.0,3477.0,2013,3,15,2013-03-15,1.0804847731510254
142,Other Countries,110567.0,132556.0,2013,3,15,2013-03-15,1.198874890337985
143,India,68237.0,86536.0,2013,3,15,2013-03-15,1.2681682957926053
144,South Africa,4396.0,5435.0,2013,3,15,2013-03-15,1.236351228389445
145,Thailand,3065.0,4911.0,2013,3,15,2013-03-15,1.602283849918434
146,Other,34868.0,35675.0,2013,3,15,2013-03-15,1.0231444304233108
147,Total Census Basis,2484301.0,2560991.0,2013,4,15,2013-04-15,1.0308698503120193
148,North America,688302.0,680170.0,2013,4,15,2013-04-15,0.9881854186098544
149,Canada,452124.0,466955.0,2013,4,15,2013-04-15,1.0328029478638603
150,Mexico,236178.0,213215.0,2013,4,15,2013-04-15,0.9027724851594984
151,Europe,640342.0,791827.0,2013,4,15,2013-04-15,1.236568895996202
152,European Union,432568.0,628166.0,2013,4,15,2013-04-15,1.4521786170035693
153,Austria,24727.0,48691.0,2013,4,15,2013-04-15,1.9691430420188458
154,Belgium,11310.0,15711.0,2013,4,15,2013-04-15,1.3891246684350134
155,Czech Republic,1995.0,9351.0,2013,4,15,2013-04-15,4.687218045112782
156,Finland,8842.0,20094.0,2013,4,15,2013-04-15,2.2725627686043883
157,France,47192.0,66571.0,2013,4,15,2013-04-15,1.4106416341752839
